"5-digit FIPS Code","Uninsured raw value","Primary care physicians raw value","Social associations raw value","Preventable hospital stays raw value","Uninsured adults raw value","Uninsured children raw value","Health care costs raw value","Food environment index raw value","Poor or fair health raw value","Poor physical health days raw value","Poor mental health days raw value","Excessive drinking raw value","Frequent physical distress raw value","Frequent mental distress raw value","Insufficient sleep raw value","Adult smoking raw value","Access to exercise opportunities raw value","Mental health providers raw value","Other primary care providers raw value","Adult obesity raw value","Physical inactivity raw value","MentalDisordersDeath","Suicide"
"53027",0.0801434747,0.0003350645,12.006477914,2884,0.094687586,0.0406466513,8895.29,6.9,0.1599745612,4.1128976181,4.3890662189,0.1832014242,0.1220849678,0.127827457,0.3236485023,0.1695007108,0.8348695688,0.0013076123,0.0008155001,0.358,0.243,26.4566227424842,20.4226561520931
"53029",0.0627144117,0.0004235442,8.9549348952,2382,0.0741564782,0.0283163265,7498.62,7.8,0.1219829051,3.7204286154,3.5322330785,0.1756326558,0.1060045311,0.104446626,0.3082499412,0.1240133824,0.8907599419,0.0027297656,0.000496321,0.292,0.164,28.4104745360975,19.0756043313798
"53031",0.0745921923,0.0008670799,11.239924211,550,0.0826695101,0.0424183325,6886.51,7.5,0.1210204852,3.4544752753,3.8162155113,0.1477632316,0.0993535661,0.112113018,0.2403890111,0.1312418617,0.8008168184,0.0030525832,0.0009847043,0.242,0.11,35.5454065640517,35.5454065640517
"53033",0.0562969716,0.0011776909,8.9164034847,2665,0.0675965507,0.021392726,8594.14,8.3,0.109505384,2.9767920961,3.2434833212,0.1946464092,0.0832856398,0.092386588,0.2886866487,0.0938345498,0.9779386294,0.0031495542,0.0007703844,0.22,0.134,27.6652853644754,12.1597138920007
"53035",0.0629742605,0.0006155333,8.3078119867,2394,0.0761386039,0.0258014623,8135.67,7.8,0.1096745605,3.6311044556,3.5909190162,0.184230724,0.1067287416,0.1052178569,0.2719024146,0.1209312585,0.8474194948,0.0023987914,0.0005958536,0.306,0.162,36.8986903492234,18.4493451746117
"53037",0.0780615697,0.000601792,9.3612089333,2252,0.0908927674,0.0325506274,7719.22,6.9,0.1308543381,3.8449202317,3.8026666439,0.1917751455,0.1146772643,0.1186364479,0.2726298115,0.1557745428,0.6767200293,0.0014097853,0.0005777809,0.274,0.211,34.2414768497841,16.376358493375
"53039",0.0836555576,0.0007041923,10.797615135,3091,0.0981258695,0.0412299092,8359.66,7.2,0.1499259781,3.904537864,4.0767643441,0.1602083809,0.1154677347,0.1219185498,0.3110706615,0.1406869397,0.7391475539,0.0012365643,0.0008085228,0.294,0.2,53.010695687424,18.7096573014438
"53041",0.0779019346,0.0004541562,9.4724002803,3353,0.0952239894,0.0319042283,8602.2,7.3,0.1420960053,4.0508655103,4.0497536491,0.1619587455,0.1204520452,0.1252916257,0.3215937388,0.1683235924,0.6079915181,0.0019767534,0.0008961282,0.347,0.242,29.4183812968315,23.7942789900843
"53043",0.0677239048,0.0005797101,21.256038647,4359,0.0788712012,0.0413943355,8724.75,6.8,0.139677675,3.9668535036,3.9926921733,0.1576395963,0.116590484,0.1190200749,0.262672835,0.1488848876,0.5139072848,0.0004844492,9.68898e-05,0.307,0.269,41.6,32
"53045",0.0987673276,0.0002250876,6.591851828,2892,0.1175107095,0.0441321499,8172.88,7.9,0.1571636255,4.2434380084,4.0235656207,0.1722538189,0.1236973026,0.1204523086,0.327460937,0.1632945468,0.6144417536,0.0010487849,0.000311358,0.358,0.233,42.2615831510022,21.9332266986214
